GO_term,UNIPROT_ID,UNIPROT_name,GO_evidence_code
1905602,P07355,ANXA2,IDA
1905602,Q5SW96,LDLRAP1,IMP
1905602,P07355,ANXA2,IBA
1905602,A6NMY6,ANXA2P2,IBA
1905601,Q8NBP7,PCSK9,IDA
0048261,P02654,APOC1,IDA
0048261,P02655,APOC2,IDA
0048261,P02656,APOC3,IDA
0048261,P62330,ARF6,TAS
0048261,P63000,RAC1,TAS
0048261,Q13492,PICALM,IDA
0048261,Q9UJ41,RABGEF1,IEA
0048260,O00291,HIP1,IMP
0048260,O00585,CCL21,ISS
0048260,O95782,AP2A1,IEA
0048260,P02787,TF,IDA
0048260,P02787,TF,IGI
0048260,P04004,VTN,IDA
0048260,P05121,SERPINE1,IDA
0048260,P10909,CLU,IGI
0048260,P22681,CBL,TAS
0048260,P22681,CBL,IMP
0048260,P50897,PPT1,IMP
0048260,P61769,B2M,IGI
0048260,P61978,HNRNPK,IMP
0048260,Q02539,HIST1H1A,IEA
0048260,Q30201,HFE,IGI
0048260,Q5SW96,LDLRAP1,IMP
0048260,Q6Q788,APOA5,TAS
0048260,Q96G01,BICD1,IMP
0048260,Q99731,CCL19,ISS
0048260,Q9BQI5,SGIP1,ISS
0048260,Q9UL25,RAB21,IMP
0048260,O43426,SYNJ1,IBA
0048260,Q02539,HIST1H1A,IBA
0048260,O00291,HIP1,IBA
0048260,O75146,HIP1R,IBA
0048259,P30533,LRPAP1,IDA
0048259,Q9Y5K6,CD2AP,IEA
2000397,Q99816,TSG101,IEA
2000397,Q9UK41,VPS28,IMP
2000370,O00401,WASL,ISS
2000370,P50570,DNM2,IEA
2000370,P98082,DAB2,IMP
2000370,Q13492,PICALM,NAS
2000370,Q6P3W7,SCYL2,IDA
2000369,O60641,SNAP91,IMP
2000369,O75061,DNAJC6,IEA
2000369,O75146,HIP1R,NAS
2000369,P42338,PIK3CB,TAS
2000369,Q07912,TNK2,IDA
2000369,Q2M2I8,AAK1,IMP
2000369,Q2M2I8,AAK1,IDA
2000369,Q8IYB5,SMAP1,IEA
2000369,Q8N271,PROM2,IDA
2000369,Q99962,SH3GL2,IEA
2000369,Q8IYB5,SMAP1,IBA
0048488,O00194,RAB27B,IEA
0048488,O00429,DNM1L,IEA
0048488,O43426,SYNJ1,ISS
0048488,O43426,SYNJ1,IGI
0048488,O60331,PIP5K1C,TAS
0048488,O60890,OPHN1,IEA
0048488,P08247,SYP,IEA
0048488,P27824,CANX,ISS
0048488,P37840,SNCA,ISS
0048488,P50570,DNM2,IEA
0048488,P60709,ACTB,IEA
0048488,P62330,ARF6,IEA
0048488,P63261,ACTG1,IEA
0048488,Q00535,CDK5,TAS
0048488,Q0JRZ9,FCHO2,IEA
0048488,Q14160,SCRIB,IEA
0048488,Q15811,ITSN1,IEA
0048488,Q16143,SNCB,IEA
0048488,Q8TEH3,DENND1A,IEA
0048488,Q8WXE9,STON2,IGI
0048488,Q9BY11,PACSIN1,ISS
0048488,Q8NFZ4,NLGN2,IBA
0048488,O43426,SYNJ1,IBA
0048488,P49418,AMPH,IBA
0048488,Q9BSW7,SYT17,IBA
0048488,Q8N2Q7,NLGN1,IBA
0048488,O60890,OPHN1,IBA
0048488,P21579,SYT1,IBA
0048488,P19835,CEL,IBA
0048488,Q8N9I0,SYT2,IBA
0048488,Q8N0W4,NLGN4X,IBA
0048488,Q9NZ94,NLGN3,IBA
0048488,Q8NBV8,SYT8,IBA
0048488,O00445,SYT5,IBA
0048488,Q8NFZ3,NLGN4Y,IBA
0048488,Q2LD37,KIAA1109,IBA
0048488,Q0JRZ9,FCHO2,IBA
0090118,P01130,LDLR,IMP
0090118,Q5SW96,LDLRAP1,IMP
0090118,O75581,LRP6,IBA
2001286,P12931,SRC,IMP
2001287,Q13432,UNC119,ISS
2001287,Q8N271,PROM2,IDA
2001287,Q13432,UNC119,IBA
2001288,P56539,CAV3,IEA
2001288,Q96PU5,NEDD4L,ISS
0045807,O00418,EEF2K,IEA
0045807,O00548,DLL1,ISS
0045807,O60635,TSPAN1,IMP
0045807,O75955,FLOT1,IMP
0045807,P01130,LDLR,ISS
0045807,P02649,APOE,IDA
0045807,P08571,CD14,IEA
0045807,P37840,SNCA,IDA
0045807,P41221,WNT5A,IEA
0045807,P48509,CD151,IDA
0045807,P48509,CD151,IMP
0045807,P51654,GPC3,ISS
0045807,P63010,AP2B1,IEA
0045807,P84077,ARF1,IEA
0045807,P98082,DAB2,IMP
0045807,Q07954,LRP1,IGI
0045807,Q08209,PPP3CA,IEA
0045807,Q75N03,CBLL1,ISS
0045807,Q86YT6,MIB1,IEA
0045807,Q96DZ5,CLIP3,IMP
0045807,Q96PU5,NEDD4L,NAS
0045807,Q99731,CCL19,ISS
0045807,Q9NYX4,CALY,IMP
0045807,Q9UP52,TFR2,IGI
0045807,P08962,CD63,IBA
0045806,P17931,LGALS3,IDA
0045806,P29320,EPHA3,IDA
0045806,Q13614,MTMR2,ISS
0045806,Q15139,PRKD1,TAS
0045806,Q6DN14,MCTP1,ISS
0045806,Q6UWE0,LRSAM1,IMP
0045806,Q8NHL6,LILRB1,IDA
0045806,Q8TAC9,SCAMP5,IDA
0045806,Q8WV41,SNX33,IDA
0045806,Q92622,RUBCN,IMP
0045806,Q9UKS6,PACSIN3,ISS
0045806,Q9UNF0,PACSIN2,IEA
0006897,A0FGR8,ESYT2,IEA
0006897,O00443,PIK3C2A,IMP
0006897,O00499,BIN1,TAS
0006897,O15118,NPC1,IEA
0006897,O15357,INPPL1,IMP
0006897,O43586,PSTPIP1,IEA
0006897,O60449,LY75,IEA
0006897,O60784,TOM1,NAS
0006897,O75096,LRP4,IEA
0006897,O75197,LRP5,IEA
0006897,O95208,EPN2,IEA
0006897,O95405,ZFYVE9,NAS
0006897,O95782,AP2A1,NAS
0006897,P01112,HRAS,IEA
0006897,P01130,LDLR,TAS
0006897,P05067,APP,ISS
0006897,P08247,SYP,ISS
0006897,P10912,GHR,IEA
0006897,P15531,NME1,IEA
0006897,P20339,RAB5A,IDA
0006897,P36575,ARR3,IEA
0006897,P48736,PIK3CG,IEA
0006897,P49418,AMPH,TAS
0006897,P49815,TSC2,TAS
0006897,P50570,DNM2,NAS
0006897,P51149,RAB7A,TAS
0006897,P51693,APLP1,IEA
0006897,P56539,CAV3,ISS
0006897,P62820,RAB1A,IMP
0006897,P98164,LRP2,TAS
0006897,Q01484,ANK2,IEA
0006897,Q05193,DNM1,TAS
0006897,Q05193,DNM1,IMP
0006897,Q07817,BCL2L1,IEA
0006897,Q07912,TNK2,IEA
0006897,Q12965,MYO1E,IMP
0006897,Q13432,UNC119,IEA
0006897,Q13671,RIN1,IEA
0006897,Q14114,LRP8,IDA
0006897,Q14677,CLINT1,IEA
0006897,Q14C86,GAPVD1,IEA
0006897,Q15075,EEA1,IMP
0006897,Q15276,RABEP1,IEA
0006897,Q15465,SHH,IEA
0006897,Q15642,TRIP10,IEA
0006897,Q16555,DPYSL2,IMP
0006897,Q16760,DGKD,IEA
0006897,Q2M2I8,AAK1,IEA
0006897,Q53S48,STON1-GTF2A1L,IEA
0006897,Q5R372,RABGAP1L,IEA
0006897,Q5S007,LRRK2,IGI
0006897,Q5S007,LRRK2,IMP
0006897,Q5T1M5,FKBP15,IEA
0006897,Q6ZMJ2,SCARA5,ISS
0006897,Q6ZS11,RINL,ISS
0006897,Q7LC44,ARC,IEA
0006897,Q86UD3,3-Mar,IEA
0006897,Q8IUN9,CLEC10A,IEA
0006897,Q8IVI9,NOSTRIN,IEA
0006897,Q8N1N0,CLEC4F,IEA
0006897,Q8N3F8,MICALL1,IMP
0006897,Q8NC96,NECAP1,IEA
0006897,Q8NDI1,EHBP1,IEA
0006897,Q8NFT2,STEAP2,IDA
0006897,Q8NFT8,DNER,NAS
0006897,Q8TB24,RIN3,NAS
0006897,Q8TEH3,DENND1A,IMP
0006897,Q8TEY7,USP33,IEA
0006897,Q8WV41,SNX33,IMP
0006897,Q8WWQ8,STAB2,ISS
0006897,Q8WYP3,RIN2,IEA
0006897,Q96B97,SH3KBP1,IEA
0006897,Q96ED9,HOOK2,TAS
0006897,Q96LT7,C9orf72,IMP
0006897,Q96RF0,SNX18,IDA
0006897,Q96RF0,SNX18,IMP
0006897,Q96RU3,FNBP1,IEA
0006897,Q96T51,RUFY1,IEA
0006897,Q99418,CYTH2,TAS
0006897,Q99523,SORT1,IDA
0006897,Q99963,SH3GL3,IEA
0006897,Q9BZZ2,SIGLEC1,IEA
0006897,Q9H2X3,CLEC4M,IEA
0006897,Q9H4M9,EHD1,IMP
0006897,Q9H5N1,RABEP2,IEA
0006897,Q9NNX6,CD209,IEA
0006897,Q9NQ60,EQTN,IEA
0006897,Q9NVZ3,NECAP2,ISS
0006897,Q9NZM3,ITSN2,IEA
0006897,Q9NZN4,EHD2,IEA
0006897,Q9P0N8,2-Mar,IEA
0006897,Q9P0V3,SH3BP4,IEA
0006897,Q9P2R3,ANKFY1,IEA
0006897,Q9UBC2,EPS15L1,IEA
0006897,Q9UBG0,MRC2,IEA
0006897,Q9UI12,ATP6V1H,IDA
0006897,Q9UJ41,RABGEF1,IEA
0006897,Q9UKS6,PACSIN3,IEA
0006897,Q9UL26,RAB22A,IDA
0006897,Q9UM54,MYO6,ISS
0006897,Q9UM54,MYO6,IMP
0006897,Q9UMZ2,SYNRG,IEA
0006897,Q9UQ16,DNM3,ISS
0006897,Q9Y2K6,USP20,IEA
0006897,Q9Y561,LRP12,NAS
0006897,Q9Y5X1,SNX9,IMP
0006897,Q9Y6I3,EPN1,IEA
0006897,Q9Y6Q2,STON1,IEA
0006897,Q9HCP0,CSNK1G1,IBA
0006897,Q7L0Q8,RHOU,IBA
0006897,Q86XA9,HEATR5A,IBA
0006897,Q53EQ6,TIGD5,IBA
0006897,Q8TF74,WIPF2,IBA
0006897,Q8IV53,DENND1C,IBA
0006897,O43861,ATP9B,IBA
0006897,Q96LT7,C9orf72,IBA
0006897,A6NGB9,WIPF3,IBA
0006897,Q9NQ60,EQTN,IBA
0006897,Q9Y6M4,CSNK1G3,IBA
0006897,Q9H4E5,RHOJ,IBA
0006897,O75110,ATP9A,IBA
0006897,Q8TEH3,DENND1A,IBA
0006897,P78368,CSNK1G2,IBA
0006897,P42768,WAS,IBA
0006897,P17081,RHOQ,IBA
0006897,P49674,CSNK1E,IBA
0006897,Q96L33,RHOV,IBA
0006897,Q15311,RALBP1,IBA
0006897,O43516,WIPF1,IBA
0006897,Q8NEB9,PIK3C3,IBA
0006897,Q9UEW3,MARCO,IBA
0006897,Q86YT6,MIB1,IBA
0006897,Q9UL26,RAB22A,IBA
0006897,Q6P3S1,DENND1B,IBA
0006897,Q9P2D3,HEATR5B,IBA
0006897,O00401,WASL,IBA
0006897,P60953,CDC42,IBA
0006898,A0A075B6P5,IGKV2-28,TAS
0006898,A0A075B6S6,IGKV2D-30,TAS
0006898,A0A0C4DH25,IGKV3D-20,TAS
0006898,A0A0C4DH73,IGKV1-12,TAS
0006898,A0A2R8Y3M9,A0A2R8Y3M9,IEA
0006898,A0M8Q6,IGLC7,TAS
0006898,A1L4H1,SSC5D,IEA
0006898,A2NJV5,IGKV2-29,TAS
0006898,O00590,ACKR2,IEA
0006898,O14638,ENPP3,IEA
0006898,O14791,APOL1,TAS
0006898,O14976,GAK,IMP
0006898,O15393,TMPRSS2,IEA
0006898,O43866,CD5L,IEA
0006898,O60494,CUBN,NAS
0006898,O75074,LRP3,TAS
0006898,O75146,HIP1R,IMP
0006898,P00738,HP,TAS
0006898,P00739,HPR,TAS
0006898,P01130,LDLR,ISS
0006898,P01591,JCHAIN,TAS
0006898,P01593,IGKV1D-33,TAS
0006898,P01594,IGKV1-33,TAS
0006898,P01597,IGKV1-39,TAS
0006898,P01599,IGKV1-17,TAS
0006898,P01601,IGKV1D-16,TAS
0006898,P01602,IGKV1-5,TAS
0006898,P01611,IGKV1D-12,TAS
0006898,P01614,IGKV2D-40,TAS
0006898,P01615,IGKV2D-28,TAS
0006898,P01619,IGKV3-20,TAS
0006898,P01624,IGKV3-15,TAS
0006898,P01699,IGLV1-44,TAS
0006898,P01700,IGLV1-47,TAS
0006898,P01701,IGLV1-51,TAS
0006898,P01703,IGLV1-40,TAS
0006898,P01704,IGLV2-14,TAS
0006898,P01705,IGLV2-23,TAS
0006898,P01706,IGLV2-11,TAS
0006898,P01709,IGLV2-8,TAS
0006898,P01714,IGLV3-19,TAS
0006898,P01715,IGLV3-1,TAS
0006898,P01717,IGLV3-25,TAS
0006898,P01718,IGLV3-27,TAS
0006898,P01721,IGLV6-57,TAS
0006898,P01742,IGHV1-69,TAS
0006898,P01743,IGHV1-46,TAS
0006898,P01762,IGHV3-11,TAS
0006898,P01763,IGHV3-48,TAS
0006898,P01764,IGHV3-23,TAS
0006898,P01766,IGHV3-13,TAS
0006898,P01767,IGHV3-53,TAS
0006898,P01768,IGHV3-30,TAS
0006898,P01772,IGHV3-33,TAS
0006898,P01780,IGHV3-7,TAS
0006898,P01782,IGHV3-9,TAS
0006898,P01814,IGHV2-70,TAS
0006898,P01817,IGHV2-5,TAS
0006898,P01824,IGHV4-39,TAS
0006898,P01825,IGHV4-59,TAS
0006898,P01834,IGKC,TAS
0006898,P01876,IGHA1,TAS
0006898,P01877,IGHA2,TAS
0006898,P02647,APOA1,TAS
0006898,P02649,APOE,IDA
0006898,P02649,APOE,TAS
0006898,P02760,AMBP,TAS
0006898,P02768,ALB,TAS
0006898,P02790,HPX,TAS
0006898,P04004,VTN,IEA
0006898,P04114,APOB,TAS
0006898,P04211,IGLV7-43,TAS
0006898,P04430,IGKV1-16,TAS
0006898,P04432,IGKV1D-39,TAS
0006898,P04433,IGKV3-11,TAS
0006898,P05156,CFI,IEA
0006898,P06127,CD5,IEA
0006898,P06310,IGKV2-30,TAS
